day,FL,GA,GU,MS,SC,TN
1,18,18,13,11,16,19
2,25,22,13,19,23,29
3,39,33,13,34,24,49
4,52,50,20,44,38,67
5,68,63,20,49,42,80
6,93,73,21,62,52,85
7,114,91,17,71,54,98
8,143,125,38,71,59,115
9,168,134,38,75,70,139
10,223,168,38,85,83,143
11,280,188,50,88,90,147
12,363,245,58,99,106,174
13,453,270,55,99,124,225
14,547,278,90,111,157,208
15,621,371,68,111,166,270
16,731,495,74,113,180,240
17,805,472,74,127,182,247
18,906,539,70,140,187,299
19,982,538,66,133,191,281
20,1042,562,66,155,180,271
21,1028,578,47,159,177,303
22,1104,717,54,159,195,256
23,1116,733,47,170,184,283
24,1106,814,47,172,181,251
25,1090,833,32,167,172,239
26,1075,764,25,194,162,258
27,1039,840,38,195,158,241
28,1054,894,41,189,163,211
29,1026,712,35,189,146,232
30,955,722,35,190,148,210
31,947,709,35,224,151,271
32,907,733,35,233,143,213
33,945,763,44,194,151,233
34,907,679,0,218,158,224
35,894,824,0,234,141,248
36,848,858,0,234,141,288
37,878,834,0,249,144,345
38,847,766,0,226,159,303
39,881,747,0,232,168,415
40,806,789,0,265,161,388
41,743,744,0,202,160,385
42,726,661,0,254,168,366
43,709,596,0,254,170,351
44,694,572,0,246,177,450
45,647,651,0,255,162,540
46,692,631,0,266,163,506
47,717,793,0,265,158,517
48,781,873,0,265,151,515
49,756,744,0,268,150,544
50,801,771,0,309,158,490
51,779,713,0,294,149,374
52,812,775,0,257,147,312
53,734,755,0,243,148,260
54,639,697,0,239,155,293
55,648,610,0,294,156,357
56,576,625,0,244,150,359
57,600,688,0,249,149,374
58,657,735,0,256,161,363
59,645,658,0,251,166,362
60,642,642,0,257,164,348
61,589,584,0,268,161,357
62,742,651,0,248,164,329
63,853,666,0,260,170,314
64,819,584,0,269,176,327
65,756,575,0,279,176,351
66,763,624,0,289,183,362
67,819,657,0,290,177,396
68,930,686,0,297,194,373
69,759,714,0,307,207,371
70,754,743,0,309,201,399
71,758,755,0,318,213,393
72,759,720,0,321,214,389
73,738,678,0,328,252,402
74,566,681,0,327,281,413
75,626,604,0,325,286,425
76,660,594,0,313,290,493
77,659,595,0,253,317,507
78,626,612,0,220,332,495
79,637,630,0,253,360,493
80,768,635,0,288,346,504
81,969,660,0,250,379,486
82,983,701,0,309,402,489
83,1031,715,0,275,444,459
84,1093,698,0,275,491,439
85,1138,692,0,368,531,464
86,1207,720,0,297,577,491
87,1212,727,0,290,644,470
88,1251,732,0,341,654,553
89,1335,737,0,308,680,576
90,1478,785,0,308,685,582
91,1605,826,0,308,730,583
92,1716,845,0,185,780,613
93,1954,833,0,185,833,699
94,2128,864,0,120,843,701
95,2343,848,0,305,903,667
96,2615,889,0,322,946,628
97,2869,1001,0,398,1049,639
98,3070,1003,0,554,1068,727
99,3237,1073,0,699,1101,744
100,3311,1228,0,750,1165,775
101,3724,1336,0,847,1232,818
102,3981,1455,0,709,1278,724
103,4704,1569,0,715,1398,963
104,5489,1597,0,764,1432,1029
105,6204,1787,0,608,1526,1154
106,6537,1927,0,735,1600,1265
107,6925,1945,0,715,1635,1324
108,7078,2122,0,670,1647,1424
109,7797,2373,0,573,1677,1608
110,7878,2500,0,616,1565,1408
111,8143,2619,0,689,1570,1429
112,8358,2615,0,836,1570,1524
113,8510,2521,0,564,1555,1529
114,8688,2740,0,770,1616,1548
115,9170,2808,0,775,1686,1552
116,9009,2717,0,898,1684,1504
117,9285,2960,0,761,1862,1874
118,9128,3012,0,887,1905,1896
119,9863,3059,0,887,1913,1868
120,10756,3358,0,887,1949,1993
121,11028,3356,0,907,1845,2039
122,11057,3421,0,1030,1905,2190
123,11753,3507,0,1140,1897,2308
124,11756,3425,0,1361,1850,2069
125,11745,3639,0,1179,1828,2165
126,11356,3742,0,1262,1789,2194
127,11033,3572,0,1467,1792,2207
128,11065,3575,0,1381,1771,2180
129,11006,3495,0,1202,1602,2066
130,10493,3616,0,1062,1567,2260
131,10638,3745,0,1248,1539,2391
132,10912,3617,0,1361,1543,2443
133,10462,3547,0,1131,1567,2344
134,10257,3610,0,1255,1487,2269
135,10232,3723,0,1082,1513,2412
136,10190,3717,0,1260,1513,2484
137,10145,3671,0,1320,1505,2242
138,9651,3564,0,914,1440,2021
139,9291,3546,0,838,1375,1914
140,8975,3603,0,974,1318,1897
141,8390,3513,0,966,1315,1926
142,7844,3271,0,966,1266,1832
143,7276,3341,0,864,1235,1772
144,6952,3230,0,779,1173,1869
145,6770,3236,0,871,1134,1897
146,6604,3345,0,847,1072,1782
147,6481,3346,0,798,1016,1756
148,6395,3370,0,612,946,1737
149,6458,3520,0,730,917,1668
150,6837,3491,0,709,866,1595
151,6638,3396,0,794,828,1571
152,6417,3270,0,702,792,1547
153,6112,3106,0,868,777,1552
154,5763,2919,0,780,773,1630
155,5548,2834,0,905,791,1523
156,5261,2727,0,877,773,1484
157,4693,2547,0,896,784,1477
158,4454,2582,0,743,800,1461
159,4241,2534,0,857,831,1409
160,3951,2436,0,749,812,1377
161,3845,2417,0,835,754,1365
162,3784,2485,0,575,796,1429
163,3624,2382,0,591,851,1424
164,3460,2373,0,649,905,1457
165,3276,2333,0,740,920,1311
166,3150,2249,0,625,908,1476
167,2989,2219,0,632,916,1559
168,2924,2146,0,546,1014,1497
169,2874,2031,0,664,1053,1481
170,3563,2049,0,694,1006,1397
171,3473,2003,0,597,947,1440
172,3510,2031,0,542,945,1573
173,3427,1997,0,603,866,1454
174,3492,1970,0,458,816,1346
175,3488,2032,0,580,699,1251
176,3478,1905,0,526,817,1242
177,2666,1808,0,427,813,1323
178,2622,1811,0,413,987,1218
179,2486,1691,0,449,1010,1100
180,2552,1632,0,0,0,1309
181,2491,1622,0,0,0,0
182,2474,1599,0,0,0,0
183,2461,1647,0,0,0,0
