day,FL,GA,GU,MS,SC,TN
1,5,3,0,3,3,3
2,6,4,0,3,3,4
3,7,5,0,3,4,4
4,8,6,0,3,4,5
5,9,7,0,3,4,5
6,11,7,0,5,4,7
7,16,8,0,6,5,7
8,18,8,0,6,5,8
9,20,10,0,7,5,9
10,23,13,0,8,6,9
11,26,15,0,8,5,8
12,30,17,0,8,6,8
13,32,19,0,7,7,6
14,32,18,0,7,6,7
15,36,19,0,8,6,8
16,36,31,0,8,6,7
17,34,32,0,8,6,6
18,35,31,0,8,5,6
19,39,34,0,8,5,7
20,42,32,0,10,5,6
21,42,32,0,10,5,5
22,44,33,0,9,6,4
23,43,23,0,10,6,4
24,45,25,0,10,7,4
25,46,30,0,10,8,5
26,42,30,0,10,8,5
27,45,34,0,9,8,5
28,46,34,0,8,9,5
29,46,35,0,10,13,4
30,44,43,0,7,14,4
31,43,42,0,10,14,5
32,38,37,0,10,14,5
33,43,36,0,10,15,4
34,42,34,0,12,15,5
35,40,33,0,15,15,5
36,38,32,0,18,10,7
37,44,23,0,18,9,6
38,46,29,0,18,9,6
39,44,31,0,20,8,5
40,43,34,0,20,9,5
41,46,39,0,18,8,5
42,47,40,0,16,8,6
43,51,38,0,13,8,5
44,50,38,0,15,9,7
45,48,33,0,12,7,7
46,48,39,0,13,8,8
47,44,32,0,13,6,8
48,41,28,0,13,6,7
49,39,33,0,14,6,6
50,35,32,0,15,6,5
51,36,33,0,14,6,4
52,34,29,0,15,6,4
53,37,25,0,15,7,5
54,39,27,0,15,7,6
55,38,28,0,15,7,5
56,38,27,0,14,8,6
57,39,29,0,14,8,6
58,38,29,0,16,9,6
59,38,29,0,16,9,6
60,36,26,0,15,8,5
61,30,33,0,16,9,4
62,32,36,0,15,8,4
63,31,32,0,17,7,7
64,32,32,0,16,8,7
65,31,27,0,15,8,8
66,31,29,0,12,8,9
67,30,31,0,11,7,9
68,39,31,0,12,8,10
69,35,24,0,14,10,10
70,35,27,0,10,8,8
71,35,32,0,12,9,8
72,34,35,0,11,8,6
73,36,33,0,11,8,6
74,36,31,0,12,8,6
75,34,25,0,10,6,6
76,34,29,0,8,6,7
77,34,24,0,11,6,6
78,31,20,0,10,5,6
79,34,21,0,10,7,7
80,33,28,0,10,6,7
81,32,31,0,7,8,7
82,33,35,0,7,8,7
83,31,37,0,6,9,7
84,30,41,0,9,9,7
85,32,39,0,7,10,8
86,31,41,0,10,8,8
87,33,35,0,11,10,9
88,34,35,0,14,9,9
89,35,33,0,14,9,8
90,38,31,0,17,9,9
91,38,28,0,14,12,9
92,37,27,0,13,13,8
93,35,22,0,12,14,8
94,37,23,0,11,15,8
95,39,18,0,10,15,8
96,38,20,0,10,15,9
97,38,19,0,8,15,9
98,41,19,0,6,17,9
99,45,19,0,11,17,11
100,45,19,0,16,19,13
101,45,17,0,18,20,13
102,47,18,0,15,20,14
103,48,15,0,20,21,14
104,58,12,0,19,21,14
105,56,12,0,23,16,15
106,60,12,0,16,24,14
107,71,13,0,15,24,12
108,73,13,0,17,26,13
109,71,14,0,17,28,14
110,81,12,0,16,27,15
111,81,16,0,16,33,14
112,95,20,0,17,41,15
113,100,20,0,22,38,15
114,100,21,0,18,41,18
115,106,22,0,19,47,18
116,114,24,0,21,48,18
117,114,25,0,20,49,18
118,118,24,0,20,49,19
119,120,25,0,16,47,18
120,121,25,0,20,48,19
121,126,21,0,25,47,15
122,125,29,0,21,41,17
123,123,35,0,30,41,15
124,130,37,0,28,41,15
125,141,44,0,31,40,16
126,153,47,0,36,40,17
127,170,46,0,27,39,18
128,178,48,0,28,36,22
129,176,44,0,31,37,21
130,194,44,0,26,36,21
131,184,44,0,26,37,21
132,185,44,0,26,36,20
133,166,47,0,23,36,22
134,155,49,0,27,35,21
135,155,48,0,26,35,18
136,157,51,0,27,36,17
137,152,49,0,24,34,19
138,164,51,0,29,34,20
139,163,52,0,27,35,22
140,167,52,0,31,31,22
141,173,51,0,26,31,23
142,177,55,0,29,36,25
143,181,61,0,26,33,32
144,169,67,0,28,34,31
145,172,73,0,23,32,29
146,167,65,0,23,27,29
147,162,69,0,17,30,29
148,147,72,0,27,32,28
149,133,71,0,30,28,26
150,125,63,0,32,29,22
151,123,56,0,25,29,23
152,117,52,0,27,30,26
153,114,61,0,32,33,24
154,117,60,0,35,32,22
155,113,61,0,25,26,21
156,119,61,0,20,27,20
157,113,67,0,18,26,19
158,113,66,0,21,25,20
159,113,70,0,22,27,17
160,110,68,0,16,22,16
161,112,69,0,13,21,16
162,113,67,0,19,24,19
163,101,68,0,17,26,25
164,104,67,0,19,23,27
165,98,69,0,18,25,29
166,77,68,0,16,24,30
167,88,66,0,17,0,33
168,97,57,0,21,0,0
169,107,62,0,0,0,0
170,113,59,0,0,0,0
171,108,48,0,0,0,0
172,110,48,0,0,0,0
173,0,48,0,0,0,0
174,0,45,0,0,0,0
175,0,44,0,0,0,0
176,0,58,0,0,0,0
177,0,57,0,0,0,0
